,ds,yhat_lower,yhat,yhat_upper
319,2019-11-16,2004966.5523555148,2945610.4209944787,3898181.204438576
320,2019-11-17,1910786.6006080718,2904130.784651984,3870233.525946311
321,2019-11-18,1943501.5832834756,2948367.206445506,3958127.501209487
322,2019-11-19,2033342.6657679635,3059236.197880641,4064593.1839221483
323,2019-11-20,2131351.1956462143,3176746.4761515628,4160297.9675676557
324,2019-11-21,2344407.832782604,3312008.3128645327,4387850.319098007
325,2019-11-22,2409718.75647595,3417273.4923981,4457523.56238798
326,2019-11-23,2352032.8370408723,3320227.61046355,4244895.562045699
327,2019-11-24,2209135.0177556807,3224048.040312284,4196090.273213742
328,2019-11-25,2222059.619211215,3207913.02392374,4186898.9825172042
329,2019-11-26,2351811.954920057,3253749.161103205,4240678.279524202
330,2019-11-27,2266527.767875593,3302701.6515254797,4254817.2757510515
331,2019-11-28,2314837.198493187,3367118.530945929,4309263.210327196
332,2019-11-29,2493020.1082954057,3400562.685971546,4442656.263434005
333,2019-11-30,2211707.671905847,3232074.076711716,4192873.2297021444
334,2019-12-01,2071454.2056015618,3066196.254592815,3992904.6523909606
335,2019-12-02,2013388.1088180668,2983453.433488089,4025625.2093543382
336,2019-12-03,2024918.7326207063,2967066.207553972,3996606.0164402933
337,2019-12-04,1963142.6801545229,2959391.088975666,4003184.2352986415
338,2019-12-05,2034934.562817448,2973875.9007168096,3960950.6340508666
339,2019-12-06,1900446.8234260527,2861038.696958925,3888564.0611701356
340,2019-12-07,1754729.2392827687,2762741.342100671,3710369.1012063464
341,2019-12-08,1574985.856443755,2572128.3755806526,3598683.7936689854
342,2019-12-09,1505023.4338000964,2474158.014233862,3437690.7834872017
343,2019-12-10,1473481.1186965816,2452273.6720280107,3416943.487569032
344,2019-12-11,1466301.8898076087,2448845.486343688,3438322.116069961
345,2019-12-12,1461614.246204663,2477125.992846373,3532369.512709379
346,2019-12-13,1375162.0659855183,2387234.472318094,3329582.2271952787
347,2019-12-14,1299210.6706479094,2320440.9558193195,3321713.2693809937
348,2019-12-15,1236222.9070935799,2169120.2394262953,3198660.3363992944
349,2019-12-16,1216416.1696141062,2117302.3601279007,3094727.2622501054
350,2019-12-17,1140007.9205641882,2147367.399256093,3123014.2686004103
351,2019-12-18,1223266.9818853347,2200513.489646943,3257350.1158754546
352,2019-12-19,1280380.190949569,2288741.4726790097,3254997.968796752
353,2019-12-20,1305391.418707425,2260869.9685598393,3240121.0329473168
