,date,rev,discount
170,2019-06-20,2866829.912823627,2179953.0
171,2019-06-21,3506726.12166629,2447832.0
172,2019-06-22,2891371.3014278114,1952639.0
173,2019-06-23,3362994.7121676193,2457745.0
174,2019-06-24,2352857.111291433,1807726.0
175,2019-06-25,2398787.7742019077,1771534.0
176,2019-06-26,2715093.1750171445,1665810.0
177,2019-06-27,2550510.22249143,1578646.0
178,2019-06-28,2599293.412610278,1564059.0
179,2019-06-29,2733820.296091421,1758885.0
180,2019-06-30,3114197.257081908,1987903.0
181,2019-07-01,2052629.2220114297,1111291.0
182,2019-07-02,1941610.0463542847,1097783.0
183,2019-07-03,2034342.7899352387,1202496.0
184,2019-07-04,2070632.7859329516,1254938.0
185,2019-07-05,1871377.2133752378,1153722.0
186,2019-07-06,1855812.8109904786,1143828.0
187,2019-07-07,2357537.5936304787,1379607.0
188,2019-07-08,2151576.4024876207,1480018.0
189,2019-07-09,2357907.950659049,1566281.0
190,2019-07-10,2928053.7882514293,2085143.0
191,2019-07-11,1989775.3001653291,1222165.0
192,2019-07-12,1672498.2425409567,1021337.0
193,2019-07-13,1694989.3248342895,1036359.0
194,2019-07-14,1623140.3204883807,916625.0
195,2019-07-15,1732067.6153142855,1045758.0
196,2019-07-16,1774502.5955428565,1021741.0
197,2019-07-17,1927718.3672838106,1209893.0
198,2019-07-18,1920323.4589714294,1289868.0
199,2019-07-19,1643044.796205716,1107717.0
200,2019-07-20,1500796.2623619062,970418.0
201,2019-07-21,2238722.7466742853,1479790.0
202,2019-07-22,2156552.666582858,1514552.0
203,2019-07-23,2210247.707089526,1505359.0
204,2019-07-24,2285890.7976373374,1523291.0
205,2019-07-25,2317167.3513447605,1477658.0
206,2019-07-26,2042726.702849525,1241234.0
207,2019-07-27,2551276.9669676167,1589657.0
208,2019-07-28,2079673.5541219038,1303981.0
209,2019-07-29,2288515.6150019024,1556802.0
210,2019-07-30,2293184.22405333,1433671.0
211,2019-07-31,2146953.2837257157,1239174.0
212,2019-08-01,1987891.1505600014,1095206.0
